Altium Designer Pick and Place Locations
\\engin-labs.m.storage.umich.edu\siegeljb\windat.V2\Documents\InductiveSensor_LDC1612_V2b\Project Outputs for InductiveSensor_LDC1612\Pick Place Output\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       18/12/23
Time:       22:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Center-X(mil)","Center-Y(mil)","Layer","Rotation","Comment","Footprint","Description"
"C1","1285.433","748.032","TopLayer","0","10uF","CAP1206_TAJA","Cap Tant Solid 10uF 16V A CASE 10%( 3.2 X 1.6 X 1.6mm) Inward L SMD 3216-18 3 Ohm 125C T/R"
"C2","1347.913","1389.567","TopLayer","180","1uF","CAP0805","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C3","1460.630","834.646","TopLayer","270","18pF","CAP0805","0805 18 pF 50 V ±5 % Tolerance C0G/NP0 SMT Multilayer Ceramic Chip Capacitor"
"C4","1456.693","992.126","TopLayer","90","18pF","CAP0805","0805 18 pF 50 V ±5 % Tolerance C0G/NP0 SMT Multilayer Ceramic Chip Capacitor"
"C5","1346.102","1309.724","TopLayer","180","100nF","CAP0805","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C6","570.866","748.032","TopLayer","0","20pF","C0603","Multilayer Ceramic Capacitor, 20 pF, 50 V, ± 5%, C0G (NP0), 0603 [1608 Metric]"
"C7","562.992","413.386","TopLayer","0","20pF","C0603","Multilayer Ceramic Capacitor, 20 pF, 50 V, ± 5%, C0G (NP0), 0603 [1608 Metric]"
"C8","524.921","309.842","TopLayer","270","100nF","CAP0805","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C9","611.221","309.685","TopLayer","270","100nF","CAP0805","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C10","441.890","800.787","TopLayer","180","100nF","CAP0805","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C11","389.961","689.134","TopLayer","90","100nF","CAP0805","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C12","480.315","1358.268","TopLayer","0","4.7nF","C0603","Cap Cer 0603 4.7NF 100VDC X8G"
"C13","361.693","1767.520","TopLayer","90","10uF","CAP1206_TAJA","Cap Tant Solid 10uF 16V A CASE 10%( 3.2 X 1.6 X 1.6mm) Inward L SMD 3216-18 3 Ohm 125C T/R"
"C14","714.370","1746.299","TopLayer","270","4.7uF","CAP0805","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C15","536.260","1881.260","TopLayer","0","100nF","CAP0805","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
