can_id,dc_0,dc_1,dc_2,dc_3
16,5,4,10,9
32,13,11,11,7
48,9,10,13,10
64,10,11,10,9
80,10,12,11,8
96,10,11,12,10
112,11,9,10,10
128,7,7,7,7
144,10,11,12,11
256,10,12,11,10
272,9,9,9,9
288,10,9,9,10
528,9,12,10,10
544,10,10,10,8
560,10,10,10,10
576,10,10,10,10
592,10,10,10,9
608,9,10,8,10
624,10,8,9,10
640,10,10,10,10
656,10,10,10,10
768,10,10,10,10
784,10,10,10,10
800,10,10,10,10
1040,8,10,8,10
1056,10,10,10,10
1072,10,8,9,10
1088,10,10,10,9
1104,10,10,10,8
1120,8,10,10,10
1136,10,10,10,10
1152,10,10,10,10
1168,10,10,10,10
1280,10,10,10,10
1296,7,10,10,9
1312,7,12,11,11
