Start Time: 1707798229952
Format Version: 3.0
Timezone: America/New_York
Channel Number: 1
[DATA START]
Datapoint Number	Test Time	Current	Potential	Timestamp	LDC SENSOR	LDC REF	Ambient Temperature	Ambient RH	LDC N	LDC STD	REF N	REF STD	LDC scaled	LDC status	REF status	DriveCurrent	DriveCurrentRef	NAHwarn	NAHwarnRef
none	second	amp	volt	epoch	none	none	celsius	percent	none	none	none	none	none	none	none	none	none	none	none
1	5.006	0	0	1707798234958	2668380	0	23.93	31.66	49	1	0	0	0	0	0	4	0	0	0
2	10.106	0	0	1707798240058	2668380	0	23.93	31.66	49	2	0	0	0	0	0	4	0	0	0
3	15.206	0	0	1707798245158	2668383	0	23.90	31.66	50	1	0	0	0	0	0	4	0	0	0
4	20.306	0	0	1707798250258	2668383	0	23.92	31.76	50	1	0	0	0	0	0	4	0	0	0
5	25.407	0	0	1707798255359	2668384	0	23.90	31.76	49	2	0	0	0	0	0	4	0	0	0
6	30.506	0	0	1707798260458	2668386	0	23.90	31.76	50	2	0	0	0	0	0	4	0	0	0
7	35.606	0	0	1707798265558	2668386	0	23.89	31.66	50	2	0	0	0	0	0	4	0	0	0
8	40.706	0	0	1707798270658	2668378	0	23.87	31.76	49	3	0	0	0	0	0	4	0	0	0
9	45.807	0	0	1707798275759	2668360	0	23.86	31.86	48	4	0	0	0	0	0	4	0	0	0
10	50.907	0	0	1707798280859	2668360	0	23.86	31.87	49	2	0	0	0	0	0	4	0	0	0
11	56.007	0	0	1707798285959	2668361	0	23.84	31.87	48	2	0	0	0	0	0	4	0	0	0
12	61.107	0	0	1707798291059	2668364	0	23.82	31.87	49	1	0	0	0	0	0	4	0	0	0
13	66.207	0	0	1707798296159	2668365	0	23.81	31.87	48	1	0	0	0	0	0	4	0	0	0
14	71.308	0	0	1707798301260	2668365	0	23.81	31.97	50	1	0	0	0	0	0	4	0	0	0
15	76.407	0	0	1707798306359	2668368	0	23.78	31.97	49	2	0	0	0	0	0	4	0	0	0
16	81.507	0	0	1707798311459	2668369	0	23.81	31.97	50	2	0	0	0	0	0	4	0	0	0
17	86.608	0	0	1707798316560	2668370	0	23.78	31.97	50	1	0	0	0	0	0	4	0	0	0
18	91.708	0	0	1707798321660	2668371	0	23.79	31.97	50	2	0	0	0	0	0	4	0	0	0
19	96.808	0	0	1707798326760	2668373	0	23.77	31.87	50	1	0	0	0	0	0	4	0	0	0
20	101.907	0	0	1707798331859	2668373	0	23.78	31.87	47	1	0	0	0	0	0	4	0	0	0
21	107.008	0	0	1707798336960	2668375	0	23.74	31.87	50	2	0	0	0	0	0	4	0	0	0
22	112.108	0	0	1707798342060	2668373	0	23.75	31.87	49	2	0	0	0	0	0	4	0	0	0
23	117.209	0	0	1707798347161	2668375	0	23.74	31.77	50	2	0	0	0	0	0	4	0	0	0
24	122.308	0	0	1707798352260	2668374	0	23.74	31.77	50	1	0	0	0	0	0	4	0	0	0
25	127.408	0	0	1707798357360	2668377	0	23.72	31.87	50	2	0	0	0	0	0	4	0	0	0
26	132.509	0	0	1707798362461	2668377	0	23.74	31.77	50	2	0	0	0	0	0	4	0	0	0
27	137.609	0	0	1707798367561	2668378	0	23.72	31.77	50	2	0	0	0	0	0	4	0	0	0
28	142.709	0	0	1707798372661	2668379	0	23.72	31.77	50	2	0	0	0	0	0	4	0	0	0
29	147.809	0	0	1707798377761	2668380	0	23.71	31.87	50	2	0	0	0	0	0	4	0	0	0
30	152.909	0	0	1707798382861	2668382	0	23.71	31.97	49	2	0	0	0	0	0	4	0	0	0
